Archivo,Coeficiente_de_Dice,Iteracion
sub-0316_postop-t1mri-1.nii.gz,0.9162296056747437,1
sub-0388_postop-t1mri-1.nii.gz,0.8328763246536255,1
sub-0099_postop-t1mri-1.nii.gz,0.8616005778312683,1
sub-0087_postop-t1mri-1.nii.gz,0.9283587336540222,1
sub-0154_postop-t1mri-1.nii.gz,0.8964089751243591,1
sub-0055_postop-t1mri-1.nii.gz,0.9078032970428467,1
sub-0413_postop-t1mri-1.nii.gz,0.9099760055541992,1
sub-0323_postop-t1mri-1.nii.gz,0.8372318148612976,1
sub-0240_postop-t1mri-1.nii.gz,0.9017121195793152,1
sub-0061_postop-t1mri-1.nii.gz,0.8724123239517212,1
sub-0326_postop-t1mri-1.nii.gz,0.756324052810669,1
sub-0253_postop-t1mri-1.nii.gz,0.9124382138252258,1
sub-0170_postop-t1mri-1.nii.gz,0.7530409097671509,1
sub-0366_postop-t1mri-1.nii.gz,0.9122979044914246,1
sub-0234_postop-t1mri-1.nii.gz,0.8840579986572266,1
sub-0145_postop-t1mri-1.nii.gz,0.9374397397041321,1
sub-0101_postop-t1mri-1.nii.gz,0.7717260122299194,1
sub-0386_postop-t1mri-1.nii.gz,0.8876928687095642,1
sub-0201_postop-t1mri-1.nii.gz,0.9028981924057007,1
sub-0381_postop-t1mri-1.nii.gz,0.9187710881233215,1
sub-0294_postop-t1mri-1.nii.gz,0.9269619584083557,1
sub-0002_postop-t1mri-1.nii.gz,0.8672924637794495,1
sub-0351_postop-t1mri-1.nii.gz,1.5105740658327704e-08,1
sub-0064_postop-t1mri-1.nii.gz,0.9292952418327332,2
sub-0173_postop-t1mri-1.nii.gz,0.8898067474365234,2
sub-0036_postop-t1mri-1.nii.gz,0.8509950041770935,2
sub-0310_postop-t1mri-1.nii.gz,0.8851979970932007,2
sub-0337_postop-t1mri-1.nii.gz,0.9191375374794006,2
sub-0171_postop-t1mri-1.nii.gz,0.874992311000824,2
sub-0362_postop-t1mri-1.nii.gz,0.009126725606620312,2
sub-0023_postop-t1mri-1.nii.gz,0.9001311659812927,2
sub-0404_postop-t1mri-1.nii.gz,0.9306133389472961,2
sub-0276_postop-t1mri-1.nii.gz,0.8371841907501221,2
sub-0344_postop-t1mri-1.nii.gz,0.931133508682251,2
sub-0085_postop-t1mri-1.nii.gz,0.9118500351905823,2
sub-0024_postop-t1mri-1.nii.gz,0.8657082915306091,2
sub-0308_postop-t1mri-1.nii.gz,0.8572688102722168,2
sub-0047_postop-t1mri-1.nii.gz,0.8807947039604187,2
sub-0348_postop-t1mri-1.nii.gz,0.9225539565086365,2
sub-0367_postop-t1mri-1.nii.gz,0.8238833546638489,2
sub-0018_postop-t1mri-1.nii.gz,0.9226263165473938,2
