Archivo,Coeficiente_de_Dice,Iteracion
sub-0316_postop-t1mri-1.nii.gz,0.8871005773544312,1
sub-0388_postop-t1mri-1.nii.gz,0.8405110239982605,1
sub-0099_postop-t1mri-1.nii.gz,0.8655105233192444,1
sub-0087_postop-t1mri-1.nii.gz,0.9277743697166443,1
sub-0154_postop-t1mri-1.nii.gz,0.8852704167366028,1
sub-0055_postop-t1mri-1.nii.gz,0.8763932585716248,1
sub-0413_postop-t1mri-1.nii.gz,0.9087602496147156,1
sub-0323_postop-t1mri-1.nii.gz,0.8483966588973999,1
sub-0240_postop-t1mri-1.nii.gz,0.8973662257194519,1
sub-0061_postop-t1mri-1.nii.gz,0.8681572079658508,1
sub-0326_postop-t1mri-1.nii.gz,0.7669172883033752,1
sub-0253_postop-t1mri-1.nii.gz,0.9000857472419739,1
sub-0170_postop-t1mri-1.nii.gz,0.723747968673706,1
sub-0366_postop-t1mri-1.nii.gz,0.9021739363670349,1
sub-0234_postop-t1mri-1.nii.gz,0.8117477297782898,1
sub-0145_postop-t1mri-1.nii.gz,0.9304729104042053,1
sub-0101_postop-t1mri-1.nii.gz,0.7833486795425415,1
sub-0386_postop-t1mri-1.nii.gz,0.8700400590896606,1
sub-0201_postop-t1mri-1.nii.gz,0.8803033828735352,1
sub-0381_postop-t1mri-1.nii.gz,0.8106776475906372,1
sub-0294_postop-t1mri-1.nii.gz,0.9212085604667664,1
sub-0002_postop-t1mri-1.nii.gz,0.8616083860397339,1
sub-0351_postop-t1mri-1.nii.gz,0.11479593068361282,1
sub-0064_postop-t1mri-1.nii.gz,0.9210403561592102,2
sub-0173_postop-t1mri-1.nii.gz,0.8752968907356262,2
sub-0036_postop-t1mri-1.nii.gz,0.8196795582771301,2
sub-0310_postop-t1mri-1.nii.gz,0.8786956667900085,2
sub-0337_postop-t1mri-1.nii.gz,0.928534746170044,2
sub-0171_postop-t1mri-1.nii.gz,0.875191867351532,2
sub-0362_postop-t1mri-1.nii.gz,0.5690861940383911,2
sub-0023_postop-t1mri-1.nii.gz,0.861106276512146,2
sub-0404_postop-t1mri-1.nii.gz,0.9312102198600769,2
sub-0276_postop-t1mri-1.nii.gz,0.7881225347518921,2
sub-0344_postop-t1mri-1.nii.gz,0.9220641255378723,2
sub-0085_postop-t1mri-1.nii.gz,0.9166691303253174,2
sub-0024_postop-t1mri-1.nii.gz,0.8692879676818848,2
sub-0308_postop-t1mri-1.nii.gz,0.8864220976829529,2
sub-0047_postop-t1mri-1.nii.gz,0.8680236339569092,2
sub-0348_postop-t1mri-1.nii.gz,0.9105477929115295,2
sub-0367_postop-t1mri-1.nii.gz,0.8762516975402832,2
sub-0018_postop-t1mri-1.nii.gz,0.9060402512550354,2
sub-0196_postop-t1mri-1.nii.gz,0.9000434875488281,2
sub-0137_postop-t1mri-1.nii.gz,0.9494242668151855,2
sub-0319_postop-t1mri-1.nii.gz,0.8867127895355225,2
sub-0416_postop-t1mri-1.nii.gz,0.7930379509925842,2
sub-0142_postop-t1mri-1.nii.gz,0.920502781867981,3
sub-0428_postop-t1mri-1.nii.gz,0.9021161794662476,3
sub-0429_postop-t1mri-1.nii.gz,0.8533221483230591,3
sub-0292_postop-t1mri-1.nii.gz,0.9066179990768433,3
sub-0275_postop-t1mri-1.nii.gz,0.9178144931793213,3
sub-0268_postop-t1mri-1.nii.gz,0.6553228497505188,3
sub-0255_postop-t1mri-1.nii.gz,0.9182596802711487,3
sub-0387_postop-t1mri-1.nii.gz,0.9369320273399353,3
sub-0130_postop-t1mri-1.nii.gz,0.887021005153656,3
sub-0207_postop-t1mri-1.nii.gz,0.9032085537910461,3
sub-0163_postop-t1mri-1.nii.gz,0.3901015520095825,3
sub-0295_postop-t1mri-1.nii.gz,0.9169315695762634,3
sub-0185_postop-t1mri-1.nii.gz,0.8894001841545105,3
sub-0403_postop-t1mri-1.nii.gz,0.8953883647918701,3
sub-0421_postop-t1mri-1.nii.gz,0.8242909908294678,3
sub-0248_postop-t1mri-1.nii.gz,0.9284318089485168,3
sub-0363_postop-t1mri-1.nii.gz,0.9040980935096741,3
sub-0063_postop-t1mri-1.nii.gz,0.8698108792304993,3
sub-0379_postop-t1mri-1.nii.gz,0.9431442022323608,3
sub-0223_postop-t1mri-1.nii.gz,0.7942196726799011,3
sub-0104_postop-t1mri-1.nii.gz,0.8541773557662964,3
sub-0116_postop-t1mri-1.nii.gz,0.858751118183136,3
sub-0184_postop-t1mri-1.nii.gz,0.8924660086631775,4
sub-0193_postop-t1mri-1.nii.gz,0.9116793870925903,4
sub-0343_postop-t1mri-1.nii.gz,0.8355656862258911,4
sub-0218_postop-t1mri-1.nii.gz,0.9148898720741272,4
sub-0206_postop-t1mri-1.nii.gz,0.7458874583244324,4
sub-0124_postop-t1mri-1.nii.gz,0.46088913083076477,4
sub-0368_postop-t1mri-1.nii.gz,0.5208526253700256,4
sub-0284_postop-t1mri-1.nii.gz,0.9054657220840454,4
sub-0425_postop-t1mri-1.nii.gz,0.8691745400428772,4
sub-0215_postop-t1mri-1.nii.gz,0.9268248081207275,4
sub-0346_postop-t1mri-1.nii.gz,0.8712525367736816,4
sub-0209_postop-t1mri-1.nii.gz,0.8824785351753235,4
sub-0032_postop-t1mri-1.nii.gz,0.8476001024246216,4
sub-0107_postop-t1mri-1.nii.gz,0.8635696768760681,4
sub-0283_postop-t1mri-1.nii.gz,0.9334104061126709,4
sub-0280_postop-t1mri-1.nii.gz,0.8402582406997681,4
sub-0228_postop-t1mri-1.nii.gz,0.8174465894699097,4
sub-0373_postop-t1mri-1.nii.gz,0.6959543228149414,4
sub-0011_postop-t1mri-1.nii.gz,0.8924249410629272,4
sub-0176_postop-t1mri-1.nii.gz,0.8070524334907532,4
sub-0338_postop-t1mri-1.nii.gz,0.8385977149009705,4
sub-0331_postop-t1mri-1.nii.gz,0.9298660755157471,4
sub-0317_postop-t1mri-1.nii.gz,0.37081021070480347,5
sub-0052_postop-t1mri-1.nii.gz,0.94007408618927,5
sub-0408_postop-t1mri-1.nii.gz,0.8720203042030334,5
sub-0426_postop-t1mri-1.nii.gz,7.674596957940594e-09,5
sub-0150_postop-t1mri-1.nii.gz,0.9497802257537842,5
sub-0133_postop-t1mri-1.nii.gz,0.8520349860191345,5
sub-0051_postop-t1mri-1.nii.gz,0.8519984483718872,5
sub-0109_postop-t1mri-1.nii.gz,0.5092536211013794,5
sub-0203_postop-t1mri-1.nii.gz,0.9299970269203186,5
sub-0307_postop-t1mri-1.nii.gz,0.9337462782859802,5
sub-0188_postop-t1mri-1.nii.gz,0.6916593313217163,5
sub-0418_postop-t1mri-1.nii.gz,0.9295796155929565,5
sub-0424_postop-t1mri-1.nii.gz,0.8716106414794922,5
sub-0089_postop-t1mri-1.nii.gz,0.9319846630096436,5
sub-0100_postop-t1mri-1.nii.gz,0.8118420839309692,5
sub-0327_postop-t1mri-1.nii.gz,0.779754102230072,5
sub-0144_postop-t1mri-1.nii.gz,0.5062140822410583,5
sub-0375_postop-t1mri-1.nii.gz,0.7213459610939026,5
sub-0035_postop-t1mri-1.nii.gz,0.8393387198448181,5
sub-0046_postop-t1mri-1.nii.gz,0.8267521858215332,5
sub-0157_postop-t1mri-1.nii.gz,0.8996058702468872,5
sub-0038_postop-t1mri-1.nii.gz,0.8615233302116394,5
sub-0221_postop-t1mri-1.nii.gz,0.853369414806366,6
sub-0044_postop-t1mri-1.nii.gz,0.8774193525314331,6
sub-0324_postop-t1mri-1.nii.gz,0.8961381316184998,6
sub-0198_postop-t1mri-1.nii.gz,1.3477088778302004e-08,6
sub-0208_postop-t1mri-1.nii.gz,0.8159574270248413,6
sub-0332_postop-t1mri-1.nii.gz,0.8811415433883667,6
sub-0289_postop-t1mri-1.nii.gz,0.888677716255188,6
sub-0141_postop-t1mri-1.nii.gz,0.8415672779083252,6
sub-0022_postop-t1mri-1.nii.gz,0.9189997911453247,6
sub-0034_postop-t1mri-1.nii.gz,0.9276569485664368,6
sub-0345_postop-t1mri-1.nii.gz,0.911010205745697,6
sub-0385_postop-t1mri-1.nii.gz,0.8531193733215332,6
sub-0138_postop-t1mri-1.nii.gz,0.8913566470146179,6
sub-0129_postop-t1mri-1.nii.gz,0.920759379863739,6
sub-0135_postop-t1mri-1.nii.gz,0.8965380191802979,6
sub-0241_postop-t1mri-1.nii.gz,0.9239848256111145,6
sub-0148_postop-t1mri-1.nii.gz,0.8650987148284912,6
sub-0139_postop-t1mri-1.nii.gz,0.6189258098602295,6
sub-0287_postop-t1mri-1.nii.gz,0.9096531271934509,6
sub-0111_postop-t1mri-1.nii.gz,0.8101999759674072,6
sub-0318_postop-t1mri-1.nii.gz,0.8799999952316284,6
sub-0194_postop-t1mri-1.nii.gz,0.7631579041481018,6
